offer_id,product_id,price,old_price,min_price,currency_code,auto_action_enabled
"EP5447/90",6029615698,"1160","1249","1129","USD",false
"NA550/00",6029756418,"1160","1249","1129","USD",false
"NA552/00",6033020018,"1160","1249","1129","USD",false
"NA555/00",6033067485,"1160","1249","1129","USD",false
"NA460/00",6033132365,"1160","1249","1129","USD",false
"NA462/70",6033149311,"1160","1249","1129","USD",false
"NA229/00",6033208399,"1160","1249","1129","USD",false
"NA230/00",6033256088,"1160","1249","1129","USD",false
"NA320/00",6033340060,"1160","1249","1129","USD",false
"NA330/00",6033390540,"1160","1249","1129","USD",false
"NA340/00",6033426335,"1160","1249","1129","USD",false
"NA350/00",6033465980,"1160","1249","1129","USD",false
"NA350/03",6033488722,"1160","1249","1129","USD",false
"NA352/00",6033508650,"1160","1249","1129","USD",false
"NA353/10",6033542394,"1160","1249","1129","USD",false
"NA154/00",6033566604,"1160","1249","1129","USD",false
"EY2458",6033593542,"699","749","689","USD",false
"EY145A",6033602574,"699","749","689","USD",false
"EY831GE0",6033739472,"1160","1249","1129","USD",false
"EY8558E0",6033781667,"999","1149","989","USD",false
"FW4018E0",6033809271,"1160","1249","1129","USD",false
"EY9018",6033881982,"999","1149","989","USD",false
"EY7528E0",6033986066,"1160","1249","1129","USD",false
"EY756HE0",6033995155,"1160","1249","1129","USD",false
"EY9228",6034006146,"1160","1249","1129","USD",false
"EY8018",6034039182,"1160","1249","1129","USD",false
"AF170EU",6034060194,"1160","1249","1129","USD",false
"AF180EUCP",6034069990,"1160","1249","1129","USD",false
"SL451EUSD",6034093270,"1160","1249","1129","USD",false
"SL400EUCP",6034115622,"1160","1249","1129","USD",false
"FN101EUGY",6034149552,"1160","1249","1129","USD",false
"FN103EUGN",6034219128,"1160","1249","1129","USD",false
"FN101EUSG",6034681598,"1160","1249","1129","USD",false
"FN101EUSTGD",6035062219,"1160","1249","1129","USD",false
"FN102EU",6035170167,"1160","1249","1129","USD",false
"TB401EU",6035208888,"1160","1249","1129","USD",false
"Philips PSG6022/20",6035389139,"1160","1249","1129","USD",false
"Philips PSG7300/80",6035481482,"1160","1249","1129","USD",false
"Philips GC7844/20",6035497828,"1160","1249","1129","USD",false
"Philips PSG6064/80",6035497996,"1160","1249","1129","USD",false
"PSG3000/20",6035930484,"699","749","689","USD",false
"GV9567",6042921534,"1160","1249","1129","USD",false
"PSG8200/80",6042952261,"1160","1249","1129","USD",false
"PSG7200/60",6042986990,"1160","1249","1129","USD",false
"DST8030/70",6043112774,"710","816","653","USD",false
"DST8050/20",6043133223,"868","998","799","USD",false
"FV9844",6043312531,"710","816","653","USD",false
"DST7020/20",6043428785,"699","749","689","USD",false
"FV9E50E0",6045477636,"710","816","653","USD",false
